Font Name,Foundry/Creator,Price,Styles
Boucherie,Laura Worthington,$10.00,18
Gabriela Stencil,Latinotype,$29.00,12
Hera Big,Lucas Sharp,$40.00,16
Bango Pro,JCFonts,$30.00,1
Goldenbook™,Mark Simonson,$29.00,6
CoalhandLuke,JOEBOB graphics,$33.00,2
Have a Nice Day,Cultivated Mind,$20.00,10
TT Tricks,TypeType,$39.00,24
Shandon Slab,Hoftype,$49.00,18
Cambria®,Ascender,$49.00,4
Corporative Sans,Latinotype,$26.00,64
Galano Classic,Rene Bieder,$30.00,44
Perpetua®,Monotype ,$35.00,23
Funkydori,Laura Worthington,$19.00,4
Dual,North Type,$29.00,6
Felt That,Blue Vinyl Fonts,$40.00,1
Mackay,Rene Bieder,$39.00,14
Qualion™,ROHH,$40.00,30
Zahrah,Indian Type Foundry,$39.00,10
Hand Of Sean Pro,Sean Johnson,$29.00,1
Jendral Writing Pro,Saffatin.co,$15.00,1
Metro® Nova,Linotype,$55.00,26
Burford Rustic,Kimmy Design,$5.00,20
Thirsty Soft,Yellow Design Studio,$20.00,6
URW Geometric®,URW,$19.95,20
Zona Pro,Intelligent Design,$10.00,16
Uniform™,Miller Type Foundry,$25.99,18
Rare Bird Specimen II,Rare Bird Font Foundry,$100.00,1
Fibra One,Los Andes,$26.00,32
Code Pro™,Fontfabric,$15.40,10
Correa Script,FadeLine Studio,$15.00,1
Meltow,Typesketchbook,$39.00,25
Prometo,Dalton Maag,$21.50,14
Merlo Neue Round,Typoforge Studio,$29.00,14
Neue Helvetica® eText Pro,Linotype,$65.00,18
Averta Standard,Intelligent Design,$10.00,48
Combinado,My Creative Land,$20.00,10
Ciutadella Rounded,Emtype Foundry,$50.00,10
Usual™,Rui Abreu,$43.90,10
Minerva Modern,T-26,$79.00,6
Core Sans C,S-Core,$20.00,18
Ulm Grotesk,Indian Type Foundry,$50.00,5
Burford,Kimmy Design,$5.00,18
Florentia,Zetafonts,$29.00,18
Lunaquête,Erwin Krump,$27.00,12
Costa Std®,Typofonderie,$65.00,6
Trump Gothic Pro™,Canada Type,$39.95,6
Lulo,Yellow Design Studio,$20.00,10
Applied Sans™,Monotype ,$55.00,32
Ernest & Emily,Nicky Laatz ,$15.00,7
Engravers' Gothic™,Bitstream,$29.00,1
Magneton,Mika Melvas,$32.00,6
JH Hadi,JH Fonts,$150.00,3
Northwoods Rough,Cultivated Mind,$19.00,31
Corbel™,Ascender,$49.00,4
Ministry,Device,$39.00,14
Abel Pro,MADType,$39.00,2
Stick-A-Round,PintassilgoPrints,$10.00,2
Ashbury,Hoftype,$49.00,10
Publica Play™,FaceType,$24.00,18
Aribau Grotesk,Emtype Foundry,$50.00,16
Amrys™,Monotype ,$65.00,16
Neutrif Studio,Degarism Studio,$20.00,10
Suomi Hand Script™,Suomi,$60.00,1
Rotis® SemiSans,Monotype ,$35.00,30
News Gothic™,Bitstream,$29.00,14
Prachar,Indian Type Foundry,$50.00,1
Cabernet JF,Jukebox Collection,$36.99,2
Gotcha,Nicky Laatz ,$8.00,3
Mostra Nuova™,Mark Simonson,$29.00,30
Bio Sans™,Dharma Type,$29.99,12
Monotype® Modern,Monotype ,$35.00,16
MTT Milano,Type Firm,$39.99,10
Lota Grotesque,Los Andes,$29.00,56
Rockeby,My Creative Land,$18.99,32
Displace,Dzianis Serabrakou,$35.00,1
Motiva Sans™,Plau,$20.00,14
Gin,Fort Foundry,$5.00,8
Futura® ND,Neufville Digital,$45.25,34
Brothers,Emigre,$39.00,4
Eidetic Neo,Emigre,$39.00,6
Curve,Fontador,$30.77,10
Loew™,The Northern Block Ltd,$39.00,16
Adore Calligraphy,Luna Paper Co,$25.00,1
Ivory™,FaceType,$12.00,3
Bunday Sans™,Buntype,$22.50,34
Bree,TypeTogether,$34.00,12
Garamond Antiqua Pro™,RMU,$50.00,3
Nevo,Meat Studio,$37.33,14
Prohibition,Fort Foundry,$5.00,8
ITC Edwardian Script™,ITC,$35.00,4
Ano™,Alias,$120.00,54
Ranger Script,Letterfreshstudio,$12.00,1
Dense,North Type,$30.00,3
FF Enzo®,FontFont,$49.00,20
Kapra,Typoforge Studio,$15.00,8
Pringle & Tweed,Nicky Laatz ,$16.00,2
Mic 32 New,moretype,$25.00,8
Houschka Rounded Alt,G-Type,$72.00,12
Mimbie,Cultivated Mind,$10.00,8
Albiona,Device,$39.00,11
Jacques & Gilles,Emily Lime,$34.00,1
Rotis® Sans Serif,Monotype ,$35.00,30
Lemon,supertype,$32.00,36
FF Unit®,FontFont,$69.00,28
Boncaire Titling,insigne,$22.00,12
Architype Renner,The Foundry,$99.00,4
Kuunari,Mika Melvas,$16.00,42
Smoothread,Dhan Studio,$6.00,3
Hello Beautiful,Nicky Laatz ,$18.00,3
TT Barrels,TypeType,$39.00,12
Desire,Borges Lettering,$99.00,13
LF Corpid III,LucasFonts,$103.00,30
Carrara,Hoftype,$49.00,14
Utopia™,Adobe,$29.00,25
FF Daxline®,FontFont,$55.00,28
Typold™,The Northern Block Ltd,$29.55,55
Heading Pro,Zetafonts,$15.00,40
Eye Catching,Blue Vinyl Fonts,$40.00,2
Sauna Pro™,Underware,$50.00,11
Wild Bloom,Sudtipos,$39.00,2
Ciutadella Slab,Emtype Foundry,$50.00,11
dearJoe 6,JOEBOB graphics,$49.00,1
Tusker Grotesk,Lewis McGuffie Type,$35.00,30
Sans Beam,Stawix,$35.00,60
Goldana,Seventh Imperium,$5.00,24
Melior®,Linotype,$35.00,8
Mr Dodo,Hipopotam Studio,$24.00,8
Citrus Gothic,Adam Ladd,$18.00,10
Adelle Sans,TypeTogether,$49.00,16
Choplin,Rene Bieder,$25.00,20
St Ryde,Stereotypes,$29.00,10
Shining Night,Gleb Guralnyk,$12.00,3
Brutal Type,Brownfox,$35.00,8
Linotype Centennial®,Linotype,$35.00,16
Nolan,Kastelov,$55.00,16
Devinyl,Nootype,$35.00,8
ITC Mixage®,ITC,$35.00,18
Microbrew™,Albatross,$5.00,16
Detroit,Match & Kerosene,$25.00,12
Chaparral™ Pro,Adobe,$35.00,32
Shapiro,OGJ Type Design,$35.00,34
Industry Inc,Fort Foundry,$5.00,14
ITC Charter®,ITC,$35.00,12
Bw Vivant,Branding with Type,$25.00,7
ITC Grouch,Bitstream,$29.00,1
Anna Clara,Trial by Cupcakes,$29.00,1
Zenon,CAST,$49.00,8
Caros,cretype,$20.00,18
Portuguesa,Sudtipos,$19.00,3
Trivia Serif™,Storm,$39.00,14
Soin Sans Neue™,Stawix,$40.00,18
Microbrew Soft™,Albatross,$10.00,28
TT Phobos,TypeType,$36.00,14
Pensum Pro,TypeMates,$55.00,18
Alergia Grotesk,BORUTTA GROUP,$29.00,60
Quadon,Rene Bieder,$25.00,18
Paralucent,Device,$29.00,35
PF DIN Mono™,Parachute,$45.00,12
Flexo™,Durotype,$49.00,17
Futura Next®,Neufville Digital,$45.25,20
Volte Rounded,Indian Type Foundry,$39.00,5
Alexon™,Red Rooster Collection,$45.00,4
Acme Gothic™,Mark Simonson,$29.00,25
Sultan™,Canada Type,$24.95,1
Versica,Letrasupply Typefoundry,$5.00,12
Quan,Typesketchbook,$40.00,32
Andale® Mono,Monotype ,$89.00,8
The Hand,S&C Type,$8.00,7
PF DIN Display Pro®,Parachute,$79.00,15
JAF Bernini Sans,Just Another Foundry,$59.00,50
Opinion Pro,Mint Type,$35.00,64
Leto Sans,Glen Jan,$20.00,6
Sequel Sans,OGJ Type Design,$25.00,48
FF Mister K®,FontFont,$39.00,14
Trebuchet®,Ascender,$30.00,4
Lovadelic,Aiyari,$10.00,3
Solanel,Nootype,$45.00,14
Rafaella,Lián Types,$15.00,6
